VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseDollars,FreightCost,AvgSalesPrice,TargetMargin,RequiredSalesDollars,UpsideDollars,NeededPriceDeltaPerUnit
1590,DIAGEO CHATEAU ESTATE WINES,42671,1,13.99,231.60000000000002,1.2313376458761176,13.99,0.35,358.20205791673254,344.21205791673253,344.21205791673253
1590,DIAGEO CHATEAU ESTATE WINES,42672,33,1253.67,949.7900000000001,5.049707179087555,37.99,0.35,1468.9841648909041,215.31416489090407,6.52467166336073
1590,DIAGEO CHATEAU ESTATE WINES,42894,2,35.98,141.12,0.750286565570111,17.99,0.35,218.26197933164633,182.28197933164634,91.14098966582317
1590,DIAGEO CHATEAU ESTATE WINES,43245,60328,621834.72,29575.92,157.24500737228144,10.307563983556557,0.35,45743.33078057274,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,43247,11,142.89000000000001,104.64000000000001,0.5563349363751163,12.990000000000002,0.35,161.84051528673098,18.950515286730962,1.722774116975542
1590,DIAGEO CHATEAU ESTATE WINES,43499,336,2516.64,405.72,2.157073876014069,7.489999999999999,0.35,627.5031905784832,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,43939,105,2033.95,1627.56,8.653177456485896,19.37095238095238,0.35,2517.2510422407477,483.3010422407476,4.602867068959501
1590,DIAGEO CHATEAU ESTATE WINES,44102,97,5334.03,2372.58,12.61419288364749,54.989999999999995,0.35,3669.5295275133035,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,44232,9,287.90999999999997,511.91999999999996,2.721702796532392,31.989999999999995,0.35,791.756465840819,503.84646584081906,55.9829406489799
1590,DIAGEO CHATEAU ESTATE WINES,44233,30266,301930.34,21463.92,114.11628982760499,9.975891759730391,0.35,33196.97890742708,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,44234,22850,345570.5,30958.199999999997,164.59411532194306,15.12343544857768,0.35,47881.2217158799,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,45459,5,159.95,252.60000000000002,1.3429874324192888,31.99,0.35,390.6815191267989,230.7315191267989,46.14630382535978
1590,DIAGEO CHATEAU ESTATE WINES,45460,73338,768719.62,34889.79,185.49702885886057,10.4818732444299,0.35,53961.980044398246,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,46732,19,113.81,145.79999999999998,0.7751685179997319,5.99,0.35,225.50025925846109,111.69025925846108,5.878434697813741
1590,DIAGEO CHATEAU ESTATE WINES,46733,635,7613.65,1674.8400000000001,8.904548975903095,11.99,0.35,2590.376229193697,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,46774,12,215.88,142.92000000000002,0.7598565472738114,17.99,0.35,221.04593314965203,5.165933149652034,0.4304944291376695
1601,VRANKEN AMERICA            ,10054,35,664.65,449.64,2.2639971737168145,18.99,0.35,695.236918728795,30.586918728795013,0.8739119636798575
1601,VRANKEN AMERICA            ,17595,5211,83870.89,16556.03,83.36181195616669,16.094970255229324,0.35,25599.064326086405,0.0,0.0
1601,VRANKEN AMERICA            ,17596,11340,140651.6,9995.4,50.328167756803325,12.403139329805997,0.35,15454.966411933541,0.0,0.0
1601,VRANKEN AMERICA            ,18583,418,19800.82,5288.01,26.62583332129315,47.370382775119616,0.35,8176.362820494296,0.0,0.0
1601,VRANKEN AMERICA            ,18584,212,9153.880000000001,5137.12,25.86608211245468,43.17867924528302,0.35,7943.055510942238,0.0,0.0
1601,VRANKEN AMERICA            ,20130,22,1319.78,315.76,1.5898935761338433,59.99,0.35,488.2306055017443,0.0,0.0
1601,VRANKEN AMERICA            ,21526,5114,50707.86,11128.86,56.03528953538411,9.915498631208447,0.35,17207.531214669823,0.0,0.0
