VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseDollars,FreightCost
480,BACARDI USA INC            ,7345,871878,9624724.22,181460.25,919.2896460731241
480,BACARDI USA INC            ,7977,331273,3475053.77,62459.11,316.4219884296552
480,BACARDI USA INC            ,7978,391114,2835351.86,56307.25000000001,285.2562581824445
480,BACARDI USA INC            ,7982,438712,3183264.88,58381.00000000001,295.76201304360086
480,BACARDI USA INC            ,7985,58750,586912.5,33353.659999999996,168.9718508414009
480,BACARDI USA INC            ,7990,33532,334984.68,24660.48,124.93162514210886
480,BACARDI USA INC            ,8130,427327,551251.83,43391.94,219.82644223749412
480,BACARDI USA INC            ,8154,27192,611638.08,49819.200000000004,252.3873671266638
480,BACARDI USA INC            ,8358,102537,2049714.63,102458.79,519.0630168104615
480,BACARDI USA INC            ,8368,302168,601314.32,22585.07,114.41746061099738
480,BACARDI USA INC            ,8534,69975,419150.25,21281.879999999997,107.81541375023289
480,BACARDI USA INC            ,8617,35262,395397.38,25373.510000000002,128.5438823518257
480,BACARDI USA INC            ,8653,233378,1234569.6199999999,51633.31,261.57776854977277
480,BACARDI USA INC            ,8654,100804,533253.16,33778.24999999999,171.12285190541456
480,BACARDI USA INC            ,8692,8,599.92,431.6,2.186514188342408
480,BACARDI USA INC            ,12191,5831,66841.69,5081.58,25.743620873950444
480,BACARDI USA INC            ,23205,1021,16325.79,1140.62,5.778456472444664
480,BACARDI USA INC            ,28323,477,3566.73,753.48,3.817179589045963
480,BACARDI USA INC            ,29472,554,4980.46,535.08,2.7107507226558285
480,BACARDI USA INC            ,29473,304,2732.96,452.4,2.291888366093849
480,BACARDI USA INC            ,40114,41189,446666.11,14592.06,73.92434250960082
480,BACARDI USA INC            ,40175,116900,1401631.0,35097.75000000001,177.80752630652168
516,BANFI PRODUCTS CORP        ,199,15,74.85000000000001,46.44,0.2426370710707889
516,BANFI PRODUCTS CORP        ,5167,313,11916.87,1288.56,6.732395010744526
516,BANFI PRODUCTS CORP        ,6234,311029,2900629.21,51193.04,267.47048416902976
516,BANFI PRODUCTS CORP        ,6240,23510,202971.9,6742.880000000001,35.22981597290701
516,BANFI PRODUCTS CORP        ,6344,11571,124688.29000000001,4203.7,21.96325270586295
516,BANFI PRODUCTS CORP        ,6378,26481,284284.19,8665.58,45.275429593660796
516,BANFI PRODUCTS CORP        ,6429,54538,518651.12,23478.399999999998,122.66860916081848
516,BANFI PRODUCTS CORP        ,6478,38920,377639.8,13149.92,68.70495421221337
516,BANFI PRODUCTS CORP        ,6547,3234,33585.66,3556.3999999999996,18.5812764762307
516,BANFI PRODUCTS CORP        ,6859,99930,968299.7,26001.36,135.8504270942543
516,BANFI PRODUCTS CORP        ,6941,159,1581.41,390.6,2.04078466753338
516,BANFI PRODUCTS CORP        ,7361,599,8510.01,1444.8,7.5487088777578775
516,BANFI PRODUCTS CORP        ,7371,12455,148184.45,5990.459999999999,31.298614745192033
