VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseQuantity,TotalPurchaseDollars,FreightCost,GrossProfit,ProfitMargin
653,STATE WINE & SPIRITS   ,2087,534,14755.66,115,2895.7,15.172419482678896,11844.78758051732,80.27284161140417
653,STATE WINE & SPIRITS   ,2446,238,8877.62,300,7551.000000000001,39.564505823707,1287.055494176293,14.497753836910038
653,STATE WINE & SPIRITS   ,2616,24,529.76,24,358.79999999999995,1.8799820804590213,169.080017919541,31.916342857056218
653,STATE WINE & SPIRITS   ,2719,27,539.7299999999999,13,201.5,1.0557870379389434,337.17421296206095,62.470904519307986
653,STATE WINE & SPIRITS   ,2809,60,1199.3999999999999,15,220.5,1.1553401581416227,977.7446598418583,81.51948139418529
653,STATE WINE & SPIRITS   ,2810,8205,459397.95,1151,50344.74,263.7882080417183,408789.42179195833,88.98372789690471
653,STATE WINE & SPIRITS   ,2813,119,2378.81,49,710.01,3.720195309216025,1665.079804690784,69.99633449879495
653,STATE WINE & SPIRITS   ,2910,248,4957.5199999999995,63,926.0999999999999,4.852428664194815,4026.5675713358046,81.22140851344633
653,STATE WINE & SPIRITS   ,2921,55,1099.4499999999998,21,313.32,1.6416833485212392,784.4883166514786,71.3527960936358
653,STATE WINE & SPIRITS   ,2931,4,107.96,2,38.56,0.20204043763238538,69.1979595623676,64.09592401108522
653,STATE WINE & SPIRITS   ,3153,10732,193068.68,1351,17873.73,93.65187321895993,175101.298126781,90.69378737492846
653,STATE WINE & SPIRITS   ,4147,2058,82561.42,667,19189.59,100.54650315316509,63271.28349684684,76.63541094235883
653,STATE WINE & SPIRITS   ,4206,291,13132.09,288,11246.4,58.92706373933762,1826.7629362606629,13.910679383560902
653,STATE WINE & SPIRITS   ,4272,4923,143328.77,749,15302.07,80.17730600314822,127946.52269399684,89.26785787249611
653,STATE WINE & SPIRITS   ,5431,276,5617.24,256,4093.44,21.448143387497705,1502.351856612502,26.745374180424943
653,STATE WINE & SPIRITS   ,6090,34,1004.66,19,431.67999999999995,2.261846891004878,570.7181531089951,56.80709425168665
653,STATE WINE & SPIRITS   ,6094,12,359.88,12,281.15999999999997,1.4731765934834407,77.24682340651658,21.46460581485956
653,STATE WINE & SPIRITS   ,6260,45,1479.55,258,5567.639999999999,29.172417587644553,-4117.2624175876435,-278.2780181533334
653,STATE WINE & SPIRITS   ,6616,2,43.98,2,34.62,0.18139626428509287,9.178603735714907,20.869949376341307
653,STATE WINE & SPIRITS   ,8058,1,31.99,1,23.01,0.12056406820335029,8.859435931796646,27.694391784297114
653,STATE WINE & SPIRITS   ,8060,1,21.99,1,14.28,0.07482202928917175,7.635177970710827,34.721136747207034
653,STATE WINE & SPIRITS   ,9115,1478,21586.22,198,2049.2999999999997,10.737589959544794,19526.182410040456,90.45670066385155
653,STATE WINE & SPIRITS   ,9118,1245,18282.55,266,2753.1,14.425247117368261,15515.024752882631,84.86247680374254
653,STATE WINE & SPIRITS   ,9126,7,153.92999999999998,19,273.03,1.4305783373125043,-120.5305783373125,-78.30220121958847
653,STATE WINE & SPIRITS   ,9136,1135,16721.15,217,2345.77,12.290985409359974,14363.089014590641,85.89773439381047
653,STATE WINE & SPIRITS   ,9140,156,3430.4399999999996,52,847.0799999999999,4.438392476909776,2578.9216075230897,75.17757510765645
653,STATE WINE & SPIRITS   ,9373,1,21.99,1,17.31,0.09069813214254643,4.589301867857453,20.869949376341307
653,STATE WINE & SPIRITS   ,9376,4,119.96,4,88.84,0.46548943151610783,30.654510568483882,25.553943454888202
653,STATE WINE & SPIRITS   ,11306,252,3959.48,96,1009.92,5.291615113425793,2944.268384886574,74.35997618087663
653,STATE WINE & SPIRITS   ,12697,52024,623767.76,5509,42915.11,224.85963707059017,580627.7903629295,93.08396932264172
653,STATE WINE & SPIRITS   ,13301,7,114.92999999999999,24,246.48,1.2914659509240234,-132.84146595092403,-115.58467410678155
653,STATE WINE & SPIRITS   ,13303,45043,634653.57,5311,47586.560000000005,249.3363435637906,586817.6736564361,92.4626759219894
653,STATE WINE & SPIRITS   ,13494,8,239.92,8,165.44,0.8668456950700684,73.61315430492992,30.68237508541594
653,STATE WINE & SPIRITS   ,14013,33,824.67,27,452.78999999999996,2.3724556471879605,369.50754435281203,44.806715941262816
653,STATE WINE & SPIRITS   ,14212,60,743.4,48,459.84000000000003,2.4093950944210607,281.15060490557886,37.81955944384973
653,STATE WINE & SPIRITS   ,14316,12,227.88,12,149.88,0.7853169292619792,77.21468307073802,33.88392270964456
653,STATE WINE & SPIRITS   ,14724,4113,70505.87,456,5234.88,27.42887567824226,65243.56112432176,92.53635353243887
653,STATE WINE & SPIRITS   ,15675,914,10960.86,329,2395.12,12.54956153999167,8553.19043846001,78.03393564428346
