VendorNumber,VendorName,UpsideTotal,BrandsNeedingAction,BrandCount,TotalSalesDollars,TotalPurchaseDollars,PurchaseShare,CurrentMargin,StockTurnover,BrandTurnoverMedian,ActionScore
90046,CANDIA VINEYARDS           ,0.0,0,5,138948.0,36588.01,0.00011380576989587036,73.52812562973197,2.3763894212341894,1.931769722814499,0.2620967741935484
5270,MANGO BOTTLING INC         ,0.0,0,4,3623576.5300000003,204510.38,0.000636122632731242,94.32757116351011,14.022911240937566,14.000163576008603,0.2560483870967742
172662,SWEETWATER FARM         ,0.0,0,5,150532.62,34708.03,0.00010795815557388788,76.8247108168316,3.1847759361571515,2.2276785714285716,0.255241935483871
90058,ZORVINO VINEYARDS          ,0.0,0,6,924647.09,86122.71,0.0002678817819572252,90.63735873542846,7.150805687203792,7.184344909460464,0.2536290322580645
90056,SWEET BABY VINEYARD        ,0.0,0,4,2285366.35,140577.9,0.0004372628120481183,93.81799158808828,10.869681642368343,10.139034921165429,0.24879032258064515
90057,WALPOLE MTN VIEW WINERY    ,0.0,0,3,26802.42,9292.31,2.8903416547144682e-05,65.15594487363455,1.9354037267080746,2.0340136054421767,0.24717741935483872
99166,STARK BREWING COMPANY      ,0.0,0,1,138073.96,25961.040000000005,8.075093847677113e-05,81.10351148036892,3.798679867986799,3.798679867986799,0.24717741935483872
90051,FULCHINO VINEYARD INC      ,0.0,0,2,36543.94,11147.77,3.467476223692097e-05,69.34463005357385,2.219178082191781,2.221621850840074,0.2463709677419355
90052,HAUNTING WHISPER VYDS      ,0.0,0,2,13968.350000000002,5388.58,1.676099617184671e-05,61.22526998535976,1.741405082212257,1.7419161676646706,0.2403225806451613
4466,AMERICAN VINTAGE BEVERAGE  ,0.0,0,3,3472785.5700000003,156357.28,0.00048634404082715003,95.47477991853094,16.944035999492964,15.801340645947594,0.2383064516129032
2555,DISARONNO INTERNATIONAL LLC,0.0,0,11,75849359.77,1141947.8499999999,0.003551990235330751,98.4867256843294,29.58342305640429,7.57591500788045,0.23427419354838708
1273,CALEDONIA SPIRITS INC      ,0.0,0,5,8272654.630000001,259604.7,0.0008074916551101428,96.84594024929093,27.656303340648623,3.0,0.2338709677419355
105,ALTAMAR BRANDS LLC         ,0.0,0,2,68006.3,11706.199999999999,3.641173989935603e-05,82.69485327094696,4.126506024096385,3.103125,0.23024193548387095
