VendorNumber,VendorName,Brand,TotalSalesDollars,TotalSalesQuantity,TotalPurchaseDollars,TotalPurchaseQuantity,FreightCost,GrossProfit,CurrentMargin,TargetMargin,RequiredSalesDollars,UpsideDollars,NeededPriceDeltaPerUnit
3664,WILLIAM GRANT & SONS INC   ,5702,265162.05,8595,25633.190000000002,1171,130.01809621306776,239398.84190378693,90.28397612093697,0.35,39635.70476340473,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,5707,219683.1,6990,20220.480000000003,944,102.5634466141129,199360.0565533859,90.74892722898844,0.35,31266.220687098637,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,5771,264214.39,8561,25916.04,1158,131.4527837612764,238166.89721623872,90.14153135877221,0.35,40073.06582117119,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,6950,663663.47,19853,46263.840000000004,1967,234.66202998167506,617164.9679700183,92.99366258173262,0.35,71536.15696920258,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,8021,4371567.03,99797,254470.69,8081,1290.7404289448853,4115805.5995710553,94.14943363160681,0.35,393479.1237368383,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,8078,768464.13,35787,70673.95999999999,4844,358.47640231428477,697431.6935976858,90.75657097979132,0.35,109280.67138817579,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,8480,16104490.59,1050941,250421.00999999998,22379,1270.1994161457706,15852799.380583854,98.43713647439161,0.35,387217.2452556088,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,8660,1235377.41,99259,44767.799999999996,4620,227.07373244014397,1190382.5362675597,96.35780342361609,0.35,69222.88266529252,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,8727,2575061.2,83480,100377.57,4351,509.1407099114057,2474174.489290089,96.08216260219714,0.35,155210.32416909447,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,190,1394.25,325,517.14,169,2.583232466939217,874.5267675330608,62.72381334287687,0.35,799.574203795291,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,351,347.88,12,267.6,12,1.3367231468324525,78.94327685316752,22.692674730702404,0.35,413.74880484128073,65.86880484128073,5.489067070106728
3924,HEAVEN HILL DISTILLERIES   ,614,689.7,30,308.88,18,1.5429261793483104,379.27707382065176,54.99160124991326,0.35,477.5737325836127,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,653,2207343.44,64056,75098.88,3456,375.1360657593151,2131869.423934241,96.58077602705272,0.35,116113.87087039895,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,867,328.05,45,48.60000000000001,9,0.24276810514221672,279.2072318948578,85.11118179998714,0.35,75.14272016175727,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,1025,74104.47,7453,12929.08,2458,64.58370890601093,61110.80629109399,82.46574908516854,0.35,19990.2518598554,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,1029,1914.51,249,526.0,100,2.627490191456913,1385.882509808543,72.38836620380896,0.35,813.2730618330106,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,1061,12540.06,1794,6651.499999999999,1255,33.225762373527864,5855.334237626473,46.69303207182799,0.35,10284.193480574657,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,1096,20152.170000000002,2883,9523.8,1716,47.57355719657291,10580.79644280343,52.5045017127358,0.35,14725.190087994724,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,1178,2290560.18,207382,86043.87000000001,10989,429.8087917490376,2204086.501208251,96.22478031588983,0.35,133036.42891038314,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,1180,36756520.58,1909942,379944.9,29070,1897.9115932396917,36374677.76840676,98.96115626406433,0.35,587450.4793742149,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,1186,770667.5,28050,36301.62,2019,181.33488685170366,734184.5451131483,95.26605768546725,0.35,56127.62290284878,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,1214,1058.94,106,197.57999999999998,37,0.986957247201629,860.3730427527985,81.2485167009272,0.35,305.4876265341563,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,1672,2598.7,130,1822.86,114,9.105602225093438,766.7343977749065,29.5045367982032,0.35,2818.408618807836,219.70861880783605,1.6900662985218158
3924,HEAVEN HILL DISTILLERIES   ,1972,218.65,35,92.82,17,0.4636571094506286,125.36634289054939,57.33653916787075,0.35,143.51331862992402,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,2106,259.98,2,93.52,1,0.46715376940123676,165.9928462305988,63.84831380513838,0.35,144.5956211836942,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,2133,6499.74,26,5158.400000000001,26,25.767386698880877,1315.5726133011183,20.24038828170232,0.35,7975.642133382894,1475.9021333828941,56.76546666857285
3924,HEAVEN HILL DISTILLERIES   ,2136,851117.4099999999,29359,69434.25,3225,346.8399445364395,781336.3200554635,91.80123809892028,0.35,107355.52299159451,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3089,1541750.93,136807,67639.95,8865,337.87700603733083,1473773.1029939626,95.59086842866134,0.35,104581.27231698051,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3162,90622.62,91538,12502.0,16450,62.450346717859944,78058.16965328214,86.13541481506729,0.35,19329.92361033517,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3243,61205609.410000004,5382359,475569.5,57575,2375.5783205438565,60727664.33167946,99.21911556321754,0.35,735300.1204931444,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3244,2184145.49,350011,57486.240000000005,13307,287.1569044557758,2126372.0930955443,97.35487415243314,0.35,88882.14908377812,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3320,497405.18,53542,19010.32,2863,94.96089227463344,478299.89910772536,96.15901046863351,0.35,29392.739834268665,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3321,347659.67,37423,14241.15,2055,71.13779836514566,333347.3822016348,95.88324760293158,0.35,22018.904305177144,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3363,617219.88,44812,45252.3,4670,226.04557868985873,571741.5344213101,92.631743232462,0.35,69966.68550567671,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3592,364127.1,36890,16443.42,2303,82.13864023575367,347601.54135976423,95.46159606350757,0.35,25423.936369593463,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3639,439307.32,44768,17999.94,2521,89.91381330192576,421217.46618669806,95.88218702722688,0.35,27830.544328156808,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3660,1958742.3599999999,75364,93609.35,4447,467.6000930677894,1864665.409906932,95.19707379519438,0.35,144733.76937395043,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3863,2638264.4299999997,123557,93046.5,6003,464.78852870607545,2544753.1414712938,96.45557558729222,0.35,143863.52081339396,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3905,164259.11,6789,61869.17999999999,3219,309.050691261373,102080.87930873861,62.14625131521693,0.35,95658.8164480944,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3930,14297.18,982,3790.43,313,18.93406396654758,10487.815936033452,73.35583615813364,0.35,5860.560098410073,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3967,5632957.4399999995,337956,169837.92,14442,848.3792185122509,5462271.140781487,96.96986350355752,0.35,262594.30649001885,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3986,1759.12,88,755.52,48,3.7739950369762876,999.8260049630236,56.83671409358222,0.35,1168.1446077491942,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3989,2666563.15,161685,123690.23999999999,10368,617.8610121272843,2542255.048987873,95.33826524932938,0.35,191243.23232634965,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,3996,472330.20999999996,28879,61318.18,4466,306.2983203573944,410705.7316796426,86.95309403979107,0.35,94806.88972362677,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,4176,1009222.83,87417,53573.6,6680,267.612373614137,955381.6176263859,94.66508180620387,0.35,82832.63442094483,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,4382,5223026.62,364738,90681.84,8686,452.97651167921134,5131891.803488321,98.2551339837575,0.35,140207.410017968,0.0,0.0
3924,HEAVEN HILL DISTILLERIES   ,4425,149.88,12,114.35999999999999,12,0.5712543313593395,34.94874566864067,23.317818033520595,0.35,176.8173143559374,26.937314355937417,2.244776196328118
3924,HEAVEN HILL DISTILLERIES   ,4563,5669080.9399999995,314306,116143.38,9567,580.1627219632187,5552357.397278036,97.94104998751413,0.35,179574.68111071264,0.0,0.0
